"ProbeID","CodeClass","GeneName.x","Accession","IsControl","ControlConc","MF_vs_eMF","MF_vs_D","eMF_vs_D","eMF_vs_HS","MF_vs_HS","AveExpr","F","P.Value","adj.P.Val","GeneName.y"
"Endogenous_IRF3_NM_001571.5","Endogenous","IRF3","NM_001571.5",FALSE,NA,-1.43416619191805,-0.237395191143581,1.19677100077447,2.33326320349674,0.899097011578693,6.11500096859641,80.2818002339751,3.05402572344732e-29,2.32105954981996e-26,"IRF3"
"Endogenous_IL21R_NM_181079.4","Endogenous","IL21R","NM_181079.4",FALSE,NA,-0.436414013188189,1.10929962818705,1.54571364137524,3.79798982097132,3.36157580778313,4.95563059678134,77.0893662499929,1.62795787601613e-28,6.18623992886129e-26,"IL21R"
"Endogenous_LAT_NM_001014987.1","Endogenous","LAT","NM_001014987.1",FALSE,NA,-0.134486158623968,1.0969400371638,1.23142619578777,2.5589338843297,2.42444772570573,7.52368568979438,72.0082928227731,2.56496587437809e-27,5.37908452953652e-25,"LAT"
"Endogenous_HLA-DRB3_NM_022555.3","Endogenous","HLA-DRB3","NM_022555.3",FALSE,NA,-0.591154883664696,0.545658138819453,1.13681302248415,2.80384243929588,2.21268755563118,11.9375169197111,71.8303996559968,2.83109712080869e-27,5.37908452953652e-25,"HLA-DRB3"
"Endogenous_TIGIT_NM_173799.2","Endogenous","TIGIT","NM_173799.2",FALSE,NA,-0.127398577456385,1.28397493399239,1.41137351144877,2.97628747861106,2.84888890115468,6.0825076423128,70.7694816420155,5.11710684937245e-27,7.77800241104612e-25,"TIGIT"
"Endogenous_CD74_NM_001025159.1","Endogenous","CD74","NM_001025159.1",FALSE,NA,-0.532464738607473,0.542322444231736,1.07478718283921,2.51469452659601,1.98222978798853,13.1172912635282,69.4952112352764,1.04946656643352e-26,1.32932431748246e-24,"CD74"
"Endogenous_TAP1_NM_000593.5","Endogenous","TAP1","NM_000593.5",FALSE,NA,-1.38180814721797,0.0594335196020559,1.44124166682002,2.79254461305366,1.4107364658357,7.39833619883329,67.3247217970216,3.63501663570313e-26,3.55557961685394e-24,"TAP1"
"Endogenous_TRAF1_NM_005658.3","Endogenous","TRAF1","NM_005658.3",FALSE,NA,-0.629264400299453,0.915444794090262,1.54470919438972,2.56135287982919,1.93208847952973,7.13939441352211,67.2742152945875,3.74271538616205e-26,3.55557961685394e-24,"TRAF1"
"Endogenous_IL27RA_NM_004843.3","Endogenous","IL27RA","NM_004843.3",FALSE,NA,-0.639736183047731,0.634912451117128,1.27464863416486,2.68059929550301,2.04086311245528,6.28220788100269,64.4715368251329,1.93225627424148e-25,1.63168307602614e-23,"IL27RA"
"Endogenous_CD84_NM_003874.3","Endogenous","CD84","NM_003874.3",FALSE,NA,-0.0728717517582469,0.888003700745895,0.960875452504142,1.53122640280936,1.45835465105111,7.0001203720995,64.0271585570978,2.51647795291894e-25,1.9125232442184e-23,"CD84"
"Endogenous_DUSP1_NM_004417.2","Endogenous","DUSP1","NM_004417.2",FALSE,NA,0.706641186595849,0.538187944684578,-0.168453241911271,-3.26438067047245,-2.5577394838766,9.46342558412363,63.1883184372169,4.1558656217072e-25,2.75480989895722e-23,"DUSP1"
"Endogenous_MAP3K14_NM_003954.1","Endogenous","MAP3K14","NM_003954.1",FALSE,NA,-0.971734936105313,-0.21928136797662,0.752453568128693,1.9755594149984,1.00382447889309,7.25079833453515,63.112417953033,4.34969984045877e-25,2.75480989895722e-23,"MAP3K14"
"Endogenous_ADORA2A_NM_000675.3","Endogenous","ADORA2A","NM_000675.3",FALSE,NA,-0.205635321701097,0.871143410947608,1.07677873264871,2.44541258094306,2.23977725924196,4.77390570017384,62.1486731358561,7.7817070201857e-25,4.5493056425701e-23,"ADORA2A"
"Endogenous_LAPTM5_NM_006762.2","Endogenous","LAPTM5","NM_006762.2",FALSE,NA,-0.496956694819083,0.436232518702985,0.933189213522068,2.11978701673824,1.62283032191916,9.79532853704805,61.7807195069297,9.73040712569781e-25,5.28222101109309e-23,"LAPTM5"
"Endogenous_IKBKE_NM_014002.2","Endogenous","IKBKE","NM_014002.2",FALSE,NA,-0.879067497215529,-0.162973330693836,0.716094166521693,2.20999830457024,1.33093080735471,7.10484550906362,61.4840709620397,1.16580574224507e-24,5.9067490940417e-23,"IKBKE"
"Endogenous_TNFRSF9_NM_001561.4","Endogenous","TNFRSF9","NM_001561.4",FALSE,NA,0.46079105395516,1.24724323421181,0.78645218025665,2.30128814551268,2.76207919946784,4.3881409986123,61.3681161019537,1.25132161100173e-24,5.9437776522582e-23,"TNFRSF9"
"Endogenous_TRAF2_NM_021138.3","Endogenous","TRAF2","NM_021138.3",FALSE,NA,-0.539153711927673,0.127934606799167,0.66708831872684,1.41868650386294,0.87953279193527,7.10892890116546,59.4038335747091,4.20130290945815e-24,1.87822953599306e-22,"TRAF2"
"Endogenous_HLA-DMB_NM_002118.3","Endogenous","HLA-DMB","NM_002118.3",FALSE,NA,-0.276690868323117,0.508640815618788,0.785331683941905,1.73825136378891,1.46156049546579,8.28437773917931,59.291899966551,4.50464298364204e-24,1.90196037087108e-22,"HLA-DMB"
"Endogenous_LTB_NM_002341.1","Endogenous","LTB","NM_002341.1",FALSE,NA,-0.582769751750545,1.18582979476982,1.76859954652037,4.11545849108273,3.53268873933218,7.5522355131193,58.9586489530812,5.54619864514178e-24,2.21847945805671e-22,"LTB"
"Endogenous_TNF_NM_000594.2","Endogenous","TNF","NM_000594.2",FALSE,NA,-0.0717665982704201,1.23081310595328,1.3025797042237,2.75277185468826,2.68100525641784,6.71817543619147,58.4800050898449,7.486137265711e-24,2.84473216097018e-22,"TNF"
"Endogenous_PTAFR_NM_000952.3","Endogenous","PTAFR","NM_000952.3",FALSE,NA,-0.383783666416462,-0.11325320138693,0.270530465029532,1.89791774663467,1.51413408021821,6.78555868780642,57.7215518081071,1.20761101225559e-23,4.37040175863927e-22,"PTAFR"
