# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).																				
# The Matrix table should include non-normalized signal count data and detectip p-value																				
"# Values that should be disregarded may either be left blank or labeled as ""null""."																				
	GSM998606		GSM998607		GSM998608		GSM998609		GSM998610		GSM998611		GSM998612		GSM998613		GSM998614		GSM998615	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	SAMPLE 9	Detection Pval	SAMPLE 10	Detection Pval
ILMN_2270015	59.92828	0.5315436	56.22723	0.9214092	68.20604	0.2845638	59.8586	0.8099731	70.94324	0	76.10181	0.2280702	69.97818	0.3140162	59.8758	0.7597841	65.17229	0.486376	74.23097	0.2723577
ILMN_1809959	52.30129	0.8993289	58.75916	0.8577236	58.60291	0.7946309	62.4919	0.6940701	57.67994	1	61.11989	0.8920378	71.47839	0.2520216	58.12616	0.8259109	68.23244	0.3051771	60.07959	0.8902439
ILMN_2357031	52.88531	0.8832214	67.91724	0.3414634	53.80793	0.947651	68.47358	0.3153639	57.62132	1	71.05423	0.4493927	58.49727	0.8921833	60.66319	0.7246963	64.09679	0.5599455	61.64538	0.8401084
ILMN_1726986	85.19707	0	78.66704	0.02710027	71.78345	0.1463087	74.24442	0.1145553	82.26511	0	88.67868	0.02564103	106.7529	0	90.85222	0	96.00678	0	83.89359	0.0501355
ILMN_1689211	371.6683	0	179.2061	0	146.4424	0	159.7948	0	84.06699	0	136.4622	0	84.89819	0.02021563	106.9971	0	90.69983	0	309.621	0
ILMN_1653165	175.7641	0	182.3617	0	152.9543	0	167.1478	0	266.0797	0	430.3291	0	293.6315	0	279.4106	0	269.1077	0	390.9983	0
ILMN_1729835	62.88925	0.3516779	61.93117	0.7086721	58.74209	0.7879195	62.22756	0.712938	50.83872	1	57.32986	0.9595141	65.28465	0.6118599	63.88913	0.5290148	51.56487	0.9918256	66.92413	0.6070461
ILMN_1662364	1489.663	0	1533.347	0	1100.901	0	1425.823	0	1242.973	0	2945.43	0	1952.108	0	2222.964	0	1962.498	0	2039.001	0
ILMN_1700461	239.8159	0	409.0381	0	288.8043	0	317.9163	0	461.4734	0	491.5356	0	498.0078	0	463.0056	0	437.5311	0	567.4283	0
ILMN_1674698	186.6313	0	170.4985	0	159.4049	0	162.8602	0	210.5227	0	405.2766	0	287.9987	0	307.2145	0	248.3427	0	370.5161	0
ILMN_1784269	177.5988	0	179.2547	0	177.2519	0	176.6258	0	295.0511	0	451.1628	0	321.3373	0	334.5525	0	252.725	0	318.9214	0
ILMN_1698189	174.6635	0	166.4642	0	125.304	0	178.8673	0	140.374	0	237.0053	0	183.1544	0	206.1777	0	132.5702	0	180.8444	0
ILMN_2096191	108.0713	0	90.29165	0	107.0358	0	113.1861	0	141.0128	0	283.1252	0	165.14	0	262.3217	0	137.7033	0	253.2484	0
ILMN_1678323	129.3658	0	107.0191	0	93.73548	0	92.37669	0	97.89848	0	124.5279	0	103.4604	0	117.4247	0	94.53456	0	218.5902	0
ILMN_2157219	91.49286	0	101.3159	0	79.33563	0.0295302	86.40252	0	78.65797	0	111.2945	0	97.26579	0	103.6259	0	93.13523	0	171.1892	0
ILMN_1703743	412.7933	0	495.7864	0	382.7614	0	458.9666	0	478.2963	0	776.6166	0	550.809	0	551.2173	0	595.6344	0	584.9572	0
ILMN_1687609	65.05679	0.2671141	78.60364	0.02845529	79.9481	0.02147651	78.09135	0.0458221	63.6177	0	71.39125	0.4291498	67.86869	0.4447439	71.36991	0.168691	74.57327	0.119891	75.75864	0.2208672
