# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).																				
# The Matrix table should include non-normalized signal count data and detectip p-value																				
"# Values that should be disregarded may either be left blank or labeled as ""null""."																				
	GSM998606		GSM998607		GSM998608		GSM998609		GSM998610		GSM998611		GSM998612		GSM998613		GSM998614		GSM998615	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	SAMPLE 9	Detection Pval	SAMPLE 10	Detection Pval
ILMN_1730625	66.185	0.2228188	56.54578	0.9132791	67.43214	0.3154362	55.88757	0.9407008	91.44525	0	95.11728	0	66.28069	0.5485175	80.3091	0.02968961	79.80394	0.03269755	87.90455	0.01897019
ILMN_2164164	54.53165	0.8295302	61.0406	0.7547426	56.9023	0.8563758	66.76505	0.4043127	55.12429	1	89.42729	0.01889339	68.97923	0.3881402	72.72648	0.1295547	61.11166	0.7302452	73.36645	0.298103
ILMN_1703538	236.6463	0	112.1355	0	94.63911	0	113.7333	0	111.7133	0	176.5041	0	254.3965	0	119.6972	0	131.7505	0	120.1437	0
ILMN_1792473	635.1852	0	301.2401	0	205.7586	0	378.3011	0	297.9085	0	622.8954	0	627.7575	0	236.3486	0	304.8359	0	309.0411	0
ILMN_1771827	66.77641	0.1986577	70.24969	0.2208672	61.277	0.6563758	68.77342	0.2964959	73.26474	0	90.11701	0.01619433	70.98609	0.2762803	71.33753	0.17139	70.82464	0.2002725	74.84142	0.2560976
ILMN_1704173	53.9705	0.8510067	62.01196	0.7046071	67.07304	0.3315436	53.89716	0.9636118	61.87063	0	80.17419	0.1241565	65.2821	0.6118599	58.37314	0.8151147	68.84825	0.2752044	65.97929	0.6558266
ILMN_2313821	593.1174	0	470.9814	0	373.8501	0	340.2181	0	331.3167	0	713.082	0	477.4049	0	561.1792	0	453.5016	0	748.1192	0
ILMN_1797974	231.0134	0	174.9489	0	140.6611	0	121.4264	0	223.7109	0	306.398	0	187.0284	0	198.4057	0	164.7527	0	339.2988	0
ILMN_1688625	102.7254	0	111.7763	0	99.35094	0	102.6632	0	184.4997	0	252.9054	0	160.12	0	177.5462	0	153.2368	0	298.1629	0
ILMN_1776916	73.42399	0.0442953	61.66536	0.7208672	58.3027	0.8080537	64.12716	0.5822102	62.93457	0	82.1628	0.09311741	58.02404	0.9177898	72.94238	0.1241565	63.51203	0.585831	63.5842	0.7520325
ILMN_2214232	62.0011	0.4147651	66.57074	0.4241192	66.94522	0.3395973	70.45981	0.2277628	69.9185	0	76.92251	0.2105263	74.46837	0.1549865	65.83145	0.4291498	64.82172	0.5095368	77.79436	0.1653116
ILMN_1681301	139.1479	0	196.5503	0	101.8495	0	240.8537	0	77.65994	0	250.3414	0	138.4278	0	266.6632	0	109.9021	0	207.3902	0
ILMN_2103841	408.5775	0	293.28	0	291.1935	0	353.8035	0	401.2274	0	898.7655	0	545.5927	0	652.9165	0	612.816	0	514.37	0
ILMN_2368268	86.64388	0	69.76427	0.2317073	63.32556	0.5355704	72.51891	0.1590296	78.48968	0	91.39876	0.006747638	78.897	0.08355795	78.7122	0.03778677	76.2156	0.08174387	92.45267	0.00406504
ILMN_2415292	60.62179	0.495302	80.08382	0.01897019	59.18576	0.7691275	65.03273	0.5229111	61.41988	0	77.26725	0.1997301	69.89999	0.3207547	75.35229	0.0782726	77.33643	0.06948229	94.9788	0
ILMN_1670282	62.91067	0.3516779	60.26951	0.7804878	66.86597	0.3503356	79.25136	0.0309973	65.9178	0	78.8178	0.1484481	77.35326	0.1024259	69.10062	0.2766532	72.18064	0.1743869	67.69197	0.5596206
ILMN_2261519	4109.73	0	5256.201	0	4850.016	0	5742.936	0	8712.593	0	5779.4	0	7189.93	0	5463.646	0	12117.78	0	10027.48	0
ILMN_1791236	52.65643	0.8885906	67.35557	0.3821138	67.56871	0.3114094	59.94338	0.8059299	52.9195	1	78.60822	0.1551957	71.84035	0.2304582	59.46039	0.7786775	68.97116	0.2724796	78.86293	0.1490515
ILMN_1723521	65.88398	0.2268456	60.84768	0.7628726	58.00377	0.8187919	59.75694	0.8180593	68.71358	0	65.00713	0.7489879	67.05013	0.4973046	66.69173	0.3805668	64.9931	0.5	73.23324	0.302168
ILMN_2242299	55.08958	0.809396	70.99107	0.1883469	65.46694	0.4214765	63.23447	0.6536388	58.07979	1	80.81643	0.1160594	65.39803	0.6105121	58.06127	0.8299595	51.28755	0.993188	61.67806	0.8387534
ILMN_2312764	71.96871	0.0590604	101.0133	0	75.34411	0.07651006	75.65205	0.08355795	82.86438	0	97.18051	0	81.77402	0.03504043	85.85785	0.001349528	87.17629	0	83.82513	0.0501355
ILMN_1779965	128.7312	0	124.6385	0	126.6819	0	160.8098	0	135.5913	0	189.3164	0	169.5555	0	238.4752	0	195.0549	0	193.4573	0
ILMN_1670542	271.356	0	251.3808	0	197.4156	0	278.2777	0	249.8952	0	528.2061	0	292.7807	0	385.4197	0	289.9866	0	644.3696	0
ILMN_1655645	144.1422	0	160.4203	0	121.4438	0	204.1885	0	140.9914	0	187.5517	0	173.7231	0	232.6691	0	194.9549	0	180.5396	0
ILMN_1716053	1890.343	0	1440.082	0	1373.823	0	1268.586	0	943.7451	0	2010.854	0	1117.743	0	1564.916	0	928.312	0	2219.09	0
ILMN_1778173	1574.801	0	1333.077	0	1116.845	0	1101.96	0	1614.761	0	2415.961	0	1482.16	0	1346.795	0	1863.359	0	1673.112	0
ILMN_2338038	765.0019	0	486.1161	0	344.7468	0	355.9547	0	399.012	0	547.9567	0	451.6132	0	555.9317	0	487.1587	0	648.2126	0
ILMN_1686522	59.80606	0.5449665	58.7467	0.8577236	66.97757	0.3355705	55.57344	0.9447439	59.79838	1	54.65102	0.9892038	63.33828	0.6954178	56.98915	0.8758435	57.74089	0.8773842	60.74274	0.8672087
ILMN_1764090	160.9316	0	144.7485	0	146.6857	0	159.8305	0	261.7636	0	343.9156	0	218.3301	0	282.812	0	300.3641	0	348.0974	0
ILMN_1798249	145.9424	0	121.9518	0	105.8878	0	118.4475	0	179.2298	0	298.2725	0	157.3235	0	213.4785	0	148.9101	0	185.8678	0
ILMN_1656593	56.21185	0.7624161	65.1043	0.5176152	59.65712	0.7436242	60.36623	0.7951483	64.64787	0	72.35362	0.3873144	66.94937	0.5067385	73.30572	0.1120108	67.2765	0.373297	65.15378	0.6897019
ILMN_2283473	51.08018	0.9275168	63.17736	0.6246613	69.22037	0.2362416	65.45977	0.4892183	56.71394	1	69.63959	0.5290148	82.70295	0.02695418	71.82248	0.1538462	54.39149	0.9591281	63.14484	0.7750677
ILMN_2387712	62.13421	0.4013423	67.14534	0.3915989	57.24104	0.8442953	68.19418	0.3261456	77.22793	0	89.21944	0.01889339	90.00311	0	72.61974	0.1349528	84.20236	0.006811989	81.14304	0.09620596
ILMN_1684305	53.28242	0.8765101	49.73957	0.99458	67.76143	0.3020134	63.43672	0.6401618	51.74066	1	76.20183	0.2213225	68.8483	0.3975741	58.98642	0.8043185	66.5909	0.4209809	66.39914	0.6355014
ILMN_1712530	88.51247	0	70.95532	0.1910569	78.25571	0.03758389	89.14198	0	95.35369	0	125.3727	0	111.1866	0	109.8634	0	86.58265	0	114.1234	0
ILMN_1662598	63.09024	0.3463087	78.77232	0.02303523	67.5065	0.3140939	78.82319	0.03369272	73.88795	0	85.34851	0.04723347	81.7118	0.03638814	80.60101	0.02564103	67.61202	0.3542234	70.6213	0.4146341
ILMN_1718808	108.4616	0	96.88027	0	98.36068	0	102.3278	0	91.48761	0	148.7002	0	114.1094	0	131.9974	0	114.4897	0	106.5052	0
ILMN_1783818	60.01029	0.5275168	70.54153	0.2073171	58.57473	0.7973154	62.15019	0.7210243	68.03118	0	69.39899	0.5479082	60.04111	0.8409703	65.55005	0.4466937	68.01099	0.3242507	67.24086	0.5880759
ILMN_2293758	176.2054	0	127.2527	0	139.5559	0	200.4518	0	237.5421	0	492.1822	0	446.5907	0	366.8734	0	362.0712	0	324.4343	0
ILMN_1735539	79.67421	0.009395973	79.52908	0.02303523	75.77725	0.07248322	78.02252	0.0458221	84.1421	0	86.93102	0.03103914	100.8525	0	76.31512	0.06477733	135.9313	0	104.3142	0
ILMN_2280189	80.925	0	79.32596	0.02303523	90.23492	0	99.79968	0	113.3813	0	114.6875	0	147.2331	0	100.6508	0	293.1376	0	114.9865	0
ILMN_1693220	217.4617	0	172.7191	0	168.1529	0	191.0097	0	212.2669	0	546.736	0	406.5144	0	339.3645	0	297.2586	0	271.8646	0
ILMN_1684836	52.32573	0.8993289	62.04155	0.7046071	67.88469	0.2966443	74.84402	0.09838275	68.00805	0	84.9227	0.05398111	76.7702	0.1172507	63.66412	0.5425101	60.69289	0.7479564	79.38339	0.1368564
ILMN_1715532	62.00522	0.4147651	71.35212	0.1802168	63.93502	0.5006711	66.36047	0.4326146	66.74464	0	91.53918	0.006747638	76.0872	0.1266846	65.82752	0.4291498	59.63206	0.8092643	74.17416	0.2737127
ILMN_1686846	44.22494	0.9973154	51.98358	0.9837399	67.22406	0.3234899	69.65858	0.2533693	57.86662	1	84.39622	0.05802969	66.62363	0.5242587	65.84828	0.4264507	48.62385	0.9959128	67.96518	0.5460705
ILMN_2308950	74.98372	0.03892617	88.54589	0	76.51748	0.06174497	71.60553	0.1859838	84.85851	0	113.7321	0	79.74493	0.07277628	80.95399	0.02564103	75.87112	0.08991826	106.3255	0
ILMN_1709101	153.0751	0	150.2816	0	144.3991	0	243.1588	0	225.9979	0	253.9391	0	332.8525	0	317.0016	0	281.0011	0	209.7833	0
ILMN_1752247	116.6803	0	185.9596	0	137.0347	0	249.1459	0	217.6096	0	281.3781	0	305.2875	0	285.2238	0	294.7638	0	234.8485	0
ILMN_2396956	526.6467	0	340.6472	0	343.4641	0	697.0542	0	764.5851	0	1008.708	0	1098.27	0	856.6808	0	958.8264	0	566.3115	0
ILMN_1679987	56.91912	0.714094	60.54956	0.7737128	66.34027	0.3812081	58.41936	0.8800539	68.11122	0	68.37877	0.5964912	57.88152	0.9218329	69.40198	0.2618084	66.13992	0.4455041	64.31518	0.7208672
ILMN_1673542	52.90191	0.8832214	56.94062	0.9037941	55.64631	0.8926175	57.50213	0.9043127	55.98697	1	79.39908	0.1443995	62.08583	0.7560647	61.47317	0.6909581	60.71107	0.7479564	66.81384	0.6111111
ILMN_1802537	56.59629	0.7342282	66.38498	0.4349594	57.99679	0.8187919	65.51101	0.4851752	65.62009	0	81.5399	0.1133603	66.87948	0.509434	71.90437	0.1511471	56.66324	0.9114441	74.07953	0.2791328
ILMN_1737754	61.80865	0.4322148	71.67828	0.1653116	76.79506	0.05771812	62.7193	0.6819407	60.91946	1	84.45075	0.05668016	74.40034	0.1576819	71.08008	0.1848853	68.70566	0.2833788	59.31031	0.9159892
ILMN_1808905	72.72116	0.04832215	75.53384	0.06639566	72.18832	0.1342282	78.7123	0.03504043	73.44567	0	98.9672	0	91.24506	0	78.94148	0.03778677	74.05812	0.1253406	96.18416	0
ILMN_2268556	64.38818	0.2993289	54.70208	0.9566396	62.60162	0.5879195	57.8652	0.8948787	59.77511	1	85.54213	0.04453441	70.26641	0.2978437	59.95398	0.7557355	58.09645	0.8610354	82.31182	0.07588076
ILMN_2253207	69.08485	0.1221476	70.77392	0.196477	73.0084	0.1127517	86.2659	0	78.49693	0	90.88517	0.01079622	83.08908	0.02560647	74.49745	0.09446694	79.59692	0.03405995	82.96168	0.06368563
ILMN_1734794	61.71998	0.4416107	62.62096	0.6680217	58.98574	0.7758389	64.34786	0.5646901	63.43428	0	80.25016	0.1241565	74.65443	0.148248	73.83109	0.09986505	66.0461	0.4509537	80.1856	0.1165312
ILMN_1690818	57.26354	0.6966443	54.35254	0.9607046	57.35563	0.8389262	58.58862	0.8665768	52.89483	1	75.74846	0.2388664	66.03703	0.5606469	56.92258	0.877193	65.24974	0.4850136	62.15358	0.8197832
ILMN_1770758	77.53598	0.01610738	65.68329	0.4769648	58.99997	0.7758389	73.19653	0.1442049	67.55106	0	71.77136	0.414305	52.26159	0.9919137	58.6572	0.8137652	69.53039	0.2506812	71.41068	0.3658537
ILMN_2293529	61.37239	0.4563758	59.7257	0.802168	64.70385	0.4684564	53.87743	0.9636118	57.62879	1	66.00954	0.7071525	62.11592	0.754717	62.27648	0.6302294	62.10918	0.6621253	71.91878	0.3563686
ILMN_1703049	60.17226	0.5181208	66.58175	0.4227642	66.80169	0.357047	58.78916	0.861186	66.49615	0	65.40219	0.7368421	65.60587	0.5956873	63.66478	0.5425101	66.87725	0.3978202	67.83199	0.5487805
ILMN_1733690	139.4394	0	156.202	0	76.05286	0.06711409	144.1466	0	133.3164	0	227.0649	0	175.6301	0	892.0812	0	250.6889	0	155.9616	0
ILMN_2410406	63.5682	0.3288591	64.9774	0.5271003	66.10535	0.3932886	74.41673	0.1118598	53.43634	1	74.54596	0.2968961	58.18683	0.9137467	114.679	0	67.3143	0.3719346	75.14964	0.2425474
ILMN_1741572	367.4359	0	365.4982	0	354.8962	0	375.9076	0	455.5107	0	747.8329	0	543.926	0	509.0255	0	565.6849	0	526.6108	0
ILMN_1768962	157.7706	0	172.4594	0	199.6491	0	187.0956	0	253.0631	0	237.3678	0	366.0056	0	279.6233	0	367.9942	0	290.7593	0
ILMN_2400663	64.3726	0.2993289	65.83729	0.4647697	64.23248	0.4912752	61.39865	0.7520216	69.83471	0	63.76948	0.8002699	62.6304	0.7318059	59.79509	0.7665317	64.5403	0.5299727	71.71908	0.3617886
ILMN_2396691	57.10738	0.7006711	53.87547	0.9647697	65.17311	0.4375839	65.35456	0.4946092	64.41645	0	79.28889	0.1470985	68.70323	0.4056604	60.98411	0.7098516	66.5112	0.4237057	88.16958	0.01761518
ILMN_1770673	160.873	0	219.4578	0	149.095	0	341.7038	0	140.9121	0	225.2797	0	408.9118	0	477.261	0	416.8164	0	256.2378	0
ILMN_1728047	1536.394	0	1425.813	0	729.5011	0	1064.152	0	1106.95	0	2491.188	0	1782.725	0	1993.006	0	1580.14	0	1348.98	0
ILMN_1774938	60.44413	0.5060403	65.28636	0.498645	72.6607	0.1194631	66.37685	0.4312668	59.92848	1	72.06348	0.3994602	59.44467	0.8557951	59.89482	0.7597841	63.64306	0.5817439	61.63133	0.8414634
ILMN_2380771	1112.176	0	1096.268	0	460.2727	0	836.1931	0	1022.389	0	1816.569	0	1160.503	0	1742.808	0	1151.867	0	1234.543	0
ILMN_1701731	455.555	0	386.3406	0	192.1846	0	389.6253	0	221.4541	0	477.7332	0	478.8927	0	554.6133	0	519.601	0	474.3571	0
ILMN_1672148	3766.167	0	2504.911	0	2673.248	0	994.7967	0	2338.762	0	876.7625	0	375.6087	0	3362.835	0	420.7577	0	6716.467	0
ILMN_1662507	60.47419	0.5020134	58.60195	0.8604336	58.64123	0.7906041	71.40346	0.1886792	56.77719	1	64.10793	0.782726	60.37269	0.8207547	50.04119	0.9932523	68.67851	0.2847411	60.23618	0.8848239
ILMN_1668617	67.75867	0.1543624	70.99961	0.1883469	64.36915	0.4845638	79.83348	0.02695418	64.93143	0	79.99456	0.1282051	69.92782	0.3180593	64.89059	0.4804319	71.64725	0.1839237	76.87434	0.1937669
ILMN_1719154	61.56969	0.4469799	61.43246	0.7276423	66.44729	0.3718121	72.10455	0.1725067	73.83537	0	79.37357	0.1443995	78.67882	0.08760108	71.42017	0.1673414	61.96721	0.6675749	68.85598	0.4878049
ILMN_1773417	64.34632	0.2993289	77.67592	0.03523035	70.85854	0.1758389	76.55005	0.06469002	70.69763	0	79.97009	0.1282051	69.57408	0.3409703	119.2933	0	76.06084	0.08310626	86.78041	0.02574526
ILMN_2412336	398.1438	0	725.7487	0	135.7096	0	178.92	0	306.0343	0	484.8816	0	325.8787	0	3591.761	0	605.1498	0	390.2688	0
ILMN_1730191	64.47169	0.2926174	65.82116	0.4661247	61.04935	0.6805369	64.62106	0.5471698	69.47294	0	64.42298	0.7705803	68.55859	0.4123989	68.0928	0.3211876	60.43483	0.7629428	71.01838	0.3848239
ILMN_1713124	104.3087	0	190.4237	0	79.99969	0.02013423	87.47705	0	202.9301	0	409.0414	0	211.4603	0	869.493	0	213.0167	0	152.6726	0
ILMN_1668880	72.84423	0.04697987	76.42602	0.0501355	69.22482	0.233557	75.59159	0.08625337	65.70502	0	81.18076	0.1133603	86.4691	0.008086253	82.42067	0.01619433	76.14604	0.08174387	70.69817	0.4105691
ILMN_1685803	71.2457	0.07516778	61.92606	0.7086721	63.46374	0.5302013	68.50621	0.3140162	71.26566	0	66.84877	0.6774629	74.06139	0.1644205	75.46879	0.0782726	68.95089	0.2724796	80.70218	0.104336
ILMN_1694985	66.29357	0.2201342	86.53595	0	68.03858	0.2885906	55.76731	0.9420485	56.02008	1	73.90381	0.3225371	59.95666	0.8423181	65.52592	0.4480432	74.72706	0.1158038	67.06728	0.598916
ILMN_1692661	59.82084	0.5422819	62.97721	0.6476965	69.49193	0.2201342	63.93873	0.5970351	64.78506	0	78.17756	0.17139	69.71654	0.3342318	69.19537	0.268556	80.0263	0.03269755	70.58252	0.4146341
ILMN_2157277	10103.65	0	11935.01	0	12996.6	0	12761.86	0	16044.41	0	12660.69	0	15683	0	12172.6	0	21076.17	0	18025.98	0
ILMN_1677043	1164.123	0	929.9335	0	702.834	0	808.9918	0	1132.602	0	1914.833	0	1036.083	0	1321.843	0	1051.886	0	1461.273	0
ILMN_2145396	259.7536	0	219.3571	0	177.4884	0	185.4452	0	300.0493	0	600.1288	0	302.5456	0	381.7686	0	326.5674	0	399.4023	0
ILMN_1718483	59.0887	0.5986577	70.07697	0.2262873	62.2043	0.6080537	64.27852	0.574124	56.92822	1	65.13606	0.7462888	71.49966	0.2520216	79.28187	0.03643725	70.91901	0.2002725	73.70342	0.2913279
ILMN_2388507	938.4437	0	940.9781	0	687.1223	0	711.556	0	711.4105	0	1182.984	0	896.6597	0	785.8023	0	909.6497	0	1064.287	0
ILMN_2410909	957.7796	0	1101.625	0	937.4453	0	1245.261	0	1264.371	0	2323.605	0	1638.443	0	1607.959	0	1492.073	0	1798.325	0
ILMN_1748661	57.02699	0.7033557	72.24092	0.1422764	67.21507	0.3234899	63.3117	0.6442049	53.94964	1	63.83568	0.7935222	78.64808	0.08760108	61.77508	0.6747639	69.00897	0.2697548	67.93392	0.5487805
ILMN_1726906	98.24171	0	117.4727	0	91.17347	0	84.64968	0	105.7711	0	125.2824	0	96.47366	0	91.10505	0	98.45441	0	148.0116	0
ILMN_1743347	82.15436	0	72.14609	0.1463415	74.45014	0.08590604	90.41199	0	81.23522	0	87.25724	0.03103914	73.14695	0.190027	93.604	0	80.74838	0.02452316	93.87262	0.001355014
ILMN_1733598	68.3388	0.1369127	65.9354	0.4593496	68.95396	0.2442953	63.8028	0.6132075	72.70924	0	79.96035	0.1295547	72.0285	0.2264151	80.09386	0.02968961	67.22621	0.3787466	78.47247	0.1558266
ILMN_1757130	67.8322	0.1516778	68.76125	0.298103	54.37614	0.938255	60.84528	0.7749326	63.05957	0	66.99305	0.6693657	60.06841	0.838275	68.51257	0.3009447	68.03679	0.3228883	68.44414	0.5121951
ILMN_2325612	62.70054	0.3637584	70.33395	0.2168022	67.16208	0.3261745	69.63757	0.2533693	63.27046	0	75.55045	0.2442645	77.4683	0.1024259	74.31458	0.09716599	74.65498	0.1171662	85.97012	0.03523035
ILMN_2325610	54.5289	0.8295302	54.42393	0.9607046	65.10147	0.4442953	56.05864	0.9366577	57.35076	1	63.15227	0.8299595	56.79806	0.9460917	71.92337	0.1511471	69.88718	0.2384196	59.09363	0.9227642
ILMN_2377240	778.1152	0	563.2538	0	369.4348	0	422.2157	0	498.1412	0	994.8792	0	452.9745	0	789.0318	0	493.5148	0	563.2227	0
ILMN_2404657	65.69378	0.233557	67.19449	0.3902439	58.47767	0.8013423	58.56696	0.8679245	67.6479	0	82.52346	0.09041835	67.68833	0.4541779	76.40804	0.0634278	73.26019	0.147139	74.212	0.2723577
ILMN_1747577	412.4067	0	404.1813	0	315.56	0	261.0252	0	408.6419	0	901.5843	0	445.9373	0	503.036	0	458.8776	0	359.9357	0
ILMN_1679898	59.51619	0.5651007	76.03938	0.05691057	60.139	0.7234899	70.91572	0.212938	67.5789	0	68.85921	0.5695007	68.10665	0.4339623	60.73089	0.7206478	67.67078	0.352861	70.4792	0.4200542
ILMN_1700047	91.37905	0	77.68775	0.03523035	80.31153	0.01610738	78.90425	0.03369272	70.937	0	102.4631	0	75.65979	0.1374663	86.36057	0	89.6278	0	117.9216	0
ILMN_2385647	83.9509	0	73.21029	0.1260163	86.17881	0	89.53942	0	85.44504	0	106.9823	0	103.0894	0	122.647	0	94.29865	0	121.0565	0
ILMN_1728309	67.37642	0.1744967	72.84753	0.1327913	70.93901	0.1718121	60.52896	0.7897574	54.73119	1	70.94443	0.4547908	69.73685	0.3328841	68.49077	0.3009447	60.31405	0.7711172	75.37228	0.2371274
ILMN_1708323	61.02373	0.4724832	63.89878	0.5840108	61.69155	0.6308725	66.34012	0.4326146	58.53914	1	61.70224	0.8731444	68.66413	0.4083558	65.34288	0.4588394	59.82469	0.7983651	65.24575	0.6856369
ILMN_2367126	71.32399	0.0738255	65.66569	0.4783198	62.4483	0.5959731	59.99931	0.8032345	60.00979	1	58.01623	0.9500675	72.34013	0.2169811	61.58018	0.6882591	57.73805	0.8773842	78.11204	0.1626016
ILMN_2271875	52.7849	0.885906	64.603	0.5406504	68.76189	0.2563758	68.6734	0.2991914	84.14117	0	87.33015	0.02968961	69.53311	0.3423181	71.03113	0.1862348	91.39039	0	92.45042	0.00406504
ILMN_1782939	54.63027	0.8268456	57.89127	0.8807588	59.81986	0.7355705	65.01418	0.5256065	77.02241	0	70.04775	0.5101215	68.11528	0.4312668	60.70219	0.7219973	66.57944	0.4209809	66.14581	0.6463414
ILMN_1682763	78.08436	0.01208054	69.9083	0.2303523	72.58005	0.1234899	89.62932	0	76.77102	0	75.73671	0.2388664	76.79048	0.115903	69.65095	0.2415655	74.59718	0.1171662	78.73914	0.1517615
ILMN_1670870	107.3743	0	94.82026	0	82.34426	0.009395973	104.2914	0	106.9168	0	232.9461	0	277.4337	0	234.3837	0	207.6064	0	109.0352	0
ILMN_2051381	302.304	0	322.1215	0	311.7009	0	206.9401	0	302.4027	0	302.2206	0	269.1705	0	337.866	0	267.1869	0	433.9935	0
ILMN_2302716	256.4652	0	245.5869	0	212.1674	0	225.2043	0	313.452	0	401.8746	0	359.9655	0	492.4517	0	283.772	0	447.2068	0
ILMN_2096372	108.118	0	88.26737	0	61.99179	0.6161074	71.69039	0.1832884	98.75835	0	117.2646	0	90.41641	0	250.7684	0	74.8392	0.113079	225.9583	0
ILMN_1709348	248.9233	0	145.4128	0	81.96723	0.01073826	150.7385	0	176.602	0	212.2379	0	130.8846	0	627.1967	0	113.9938	0	549.2751	0
ILMN_1748538	71.27989	0.0738255	72.68912	0.1341463	120.9903	0	69.14949	0.2762803	71.20077	0	90.4739	0.0148448	72.69648	0.203504	72.82978	0.1282051	64.65958	0.5217984	78.14302	0.1612466
ILMN_2383707	72.56113	0.05234899	66.12776	0.4512195	84.40189	0.001342282	68.00682	0.3328841	76.03716	0	77.64708	0.1848853	85.78054	0.01347709	71.2329	0.1767881	78.24285	0.05585831	73.50047	0.2940379
ILMN_1807439	465.4627	0	135.8528	0	118.7528	0	131.9211	0	59.00467	1	88.33115	0.02699055	76.33757	0.1212938	212.567	0	88.93161	0	799.1158	0
ILMN_2139970	479.3678	0	190.623	0	166.3147	0	162.2648	0	69.12152	0	94.20602	0.002699055	73.45955	0.1819407	295.1806	0	100.1036	0	1759.149	0
ILMN_2150894	53.72892	0.8630872	58.09614	0.8766938	55.91186	0.8899329	61.73228	0.7398922	62.75204	0	79.3275	0.1470985	64.47589	0.6495957	60.9321	0.7098516	69.04747	0.2683924	72.59686	0.3292683
ILMN_1675398	69.39229	0.114094	70.7884	0.196477	59.02973	0.7744966	73.72896	0.1280323	70.86333	0	73.05857	0.3576248	76.57203	0.1199461	78.27559	0.04453441	65.51334	0.4754768	68.55827	0.504065
ILMN_1802167	72.66734	0.05100671	54.1979	0.9607046	58.54163	0.7973154	57.4506	0.9043127	50.28847	1	64.09223	0.7840756	75.63324	0.1374663	47.11439	1	107.8498	0	60.37945	0.8766938
ILMN_1736539	58.96798	0.6026846	66.09887	0.4512195	66.21165	0.3865772	68.5862	0.3072776	55.32165	1	78.70473	0.1551957	73.85545	0.171159	70.36132	0.2105263	64.84649	0.5095368	77.54158	0.1775068
ILMN_2182980	54.64036	0.8255033	69.59077	0.2439024	57.57598	0.8308725	63.96632	0.5956873	55.25751	1	61.53376	0.8785425	64.53299	0.648248	57.53571	0.8529015	62.17521	0.6566758	61.40616	0.8482385
ILMN_1793859	2083.88	0	1831.272	0	1184.816	0	1609.537	0	2038.99	0	3707.838	0	1823.534	0	2953.621	0	1792.094	0	3567.928	0
ILMN_1702503	1550.029	0	941.6139	0	637.8109	0	460.0834	0	2247.936	0	800.7009	0	620.8627	0	2280.282	0	643.3176	0	1625.848	0
ILMN_1667564	78.81895	0.01208054	81.29048	0.008130081	87.5668	0	75.80115	0.0768194	177.6208	0	257.5126	0	213.7961	0	213.517	0	169.1282	0	144.2394	0
ILMN_1794825	2217.558	0	2120.726	0	1540.865	0	2687.381	0	4657.54	0	8163.612	0	6109.2	0	5468.233	0	3891.554	0	1941.588	0
ILMN_2401641	816.8782	0	705.792	0	497.0702	0	749.7916	0	1799.452	0	2251.449	0	1708.564	0	1847.397	0	1181.879	0	675.7177	0
ILMN_1727965	58.98006	0.6026846	56.37328	0.9146342	57.1076	0.8483222	54.1011	0.9609165	53.02026	1	53.81176	0.9946019	57.10597	0.9407008	71.42494	0.1673414	64.67303	0.5217984	60.29927	0.8794038
ILMN_1728662	78.84165	0.01208054	82.08465	0.005420054	75.10191	0.07919463	72.59954	0.1590296	62.019	0	95.69557	0	96.64084	0	79.93763	0.03103914	84.48841	0.006811989	85.80193	0.03658536
ILMN_2363880	1259.726	0	947.0424	0	634.4008	0	633.5471	0	967.4874	0	1519.407	0	837.8653	0	1368.833	0	569.0377	0	1339.045	0
ILMN_1761514	74.92207	0.03892617	60.20509	0.7859079	56.04429	0.8832214	61.59586	0.745283	66.8815	0	68.42703	0.5964912	72.15491	0.2210243	86.03259	0.001349528	59.78502	0.8024523	83.69024	0.05420054
ILMN_1763666	7463.851	0	4481.421	0	4374.656	0	3379.206	0	5163.491	0	7285.804	0	4213.748	0	6014.41	0	2924.901	0	6750.813	0
ILMN_2244841	149.0188	0	203.8624	0	184.321	0	147.8573	0	142.7784	0	312.1126	0	132.6144	0	210.2039	0	111.9779	0	441.9691	0
ILMN_1656368	194.1973	0	142.6567	0	156.9229	0	166.7729	0	264.7866	0	490.6478	0	196.2582	0	276.5536	0	190.0001	0	658.6121	0
ILMN_1696099	417.3614	0	316.2869	0	351.6176	0	320.4016	0	296.7527	0	739.3637	0	268.716	0	461.5538	0	255.8957	0	962.294	0
ILMN_2406557	109.5723	0	97.77943	0	90.1656	0	87.52203	0	112.2683	0	166.9117	0	100.5926	0	137.1472	0	105.4479	0	227.6406	0
ILMN_2372403	108.4035	0	97.59238	0	73.48988	0.1006711	83.61082	0.001347709	102.1727	0	152.482	0	166.6842	0	178.7863	0	103.3344	0	208.8432	0
ILMN_2372398	214.3329	0	149.8098	0	90.34174	0	103.4419	0	154.049	0	396.7336	0	264.6789	0	310.0717	0	141.8474	0	289.8855	0
ILMN_1785284	189.2347	0	165.8004	0	147.2427	0	143.5269	0	188.7405	0	259.8072	0	246.835	0	289.7136	0	200.2596	0	271.166	0
