# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
	GSM998616		GSM998617		GSM998618		GSM998619		GSM998620		GSM998621	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval
ILMN_1884749	59.2586	0.4713715	73.70085	0.2195448	65.32958	0.4457831	60.44015	0.6542056	66.62898	0.355615	61.60027	0.5935397
ILMN_1872207	61.26158	0.3422104	53.64254	0.9598393	67.10426	0.3440428	48.77414	0.9866489	66.97904	0.3302139	68.39776	0.2597577
ILMN_1816789	65.92119	0.1358189	75.06402	0.1954485	70.32213	0.2141901	72.6658	0.1041389	73.74532	0.09358289	62.67199	0.5423957
ILMN_1877221	62.30884	0.286285	74.63721	0.206158	59.87322	0.7443106	60.89817	0.6248331	63.51041	0.5254011	78.97078	0.02288022
ILMN_1873074	62.61414	0.2716378	86.56376	0.01874163	67.67345	0.3212851	69.80458	0.1855808	61.29553	0.6323529	66.88643	0.3257066
ILMN_1829532	69.97454	0.06391478	77.36706	0.1352075	78.82318	0.04685408	89.31747	0	68.72643	0.2620321	76.49359	0.04306864
ILMN_1840923	64.90488	0.1757656	79.76849	0.09236947	66.87684	0.3534136	70.22295	0.1775701	71.62675	0.1550802	73.0713	0.1170929
ILMN_1902188	82.34406	0	80.08138	0.08567604	77.07207	0.06693441	71.35323	0.1361816	72.68105	0.1203209	66.98245	0.3189771
ILMN_1859745	66.90637	0.1118509	71.84657	0.3025435	66.20281	0.3828648	64.20274	0.4379172	71.78324	0.1497326	70.31471	0.1938089
ILMN_1891528	60.35662	0.4047936	67.15012	0.4993307	61.72939	0.6519411	70.71179	0.1655541	72.07973	0.1377005	74.73679	0.07267833
ILMN_1903172	58.47422	0.505992	79.41772	0.09906292	66.09954	0.3882195	73.72884	0.0787717	61.37988	0.6283423	67.15144	0.3122476
ILMN_1824297	67.29784	0.1051931	78.20945	0.1218206	79.29265	0.04149933	93.49547	0	85.77312	0.002673797	77.7811	0.0269179
ILMN_1854626	76.92725	0.007989348	68.5163	0.437751	71.47227	0.1847389	73.04272	0.09479306	85.10406	0.005347594	75.94394	0.04979812
ILMN_1866856	61.12952	0.3515313	73.34509	0.2302544	73.62003	0.124498	64.565	0.4178905	68.71851	0.263369	69.52016	0.2220727
ILMN_1914110	60.68902	0.3888149	78.84682	0.1097724	67.6742	0.3212851	58.84308	0.7463284	69.77341	0.2272727	66.65955	0.333782
ILMN_1837351	67.87442	0.09587217	76.65499	0.1512718	63.9222	0.5274431	70.5837	0.1668892	66.98215	0.3302139	66.11875	0.3620458
ILMN_1882911	60.71878	0.3874834	65.71414	0.583668	54.62407	0.935743	49.98661	0.9732977	60.22905	0.6965241	64.84157	0.4266487
ILMN_1820295	107.3741	0	113.3734	0	157.838	0	246.5154	0	200.3937	0	132.1842	0
ILMN_1892447	52.07214	0.8575233	61.8269	0.7670683	63.63811	0.54083	69.51581	0.1975968	74.65527	0.07486631	63.95484	0.4697174
ILMN_1884936	53.40081	0.8015979	66.28661	0.5528782	62.60145	0.5983936	65.60212	0.3658211	66.10155	0.3770053	62.07516	0.5760431
ILMN_1872185	63.79909	0.2170439	75.47176	0.1874163	68.68819	0.2824632	70.26585	0.176235	73.01182	0.1096257	69.69484	0.2139973
ILMN_1902021	59.27063	0.4713715	66.94817	0.5060241	66.75803	0.3587684	61.5842	0.5740988	72.13503	0.1350267	69.45415	0.2247645
ILMN_1839719	101.5354	0	331.207	0	213.9866	0	229.4813	0	278.9303	0	180.8295	0
ILMN_1891240	70.70299	0.05459388	70.55988	0.3574297	66.55633	0.3708166	65.49254	0.3711616	64.99431	0.4398396	68.47577	0.25572
ILMN_1852590	58.45526	0.5073236	65.4976	0.5943775	71.55331	0.1820616	75.88136	0.05073431	70.13245	0.2058824	63.19278	0.5141319
ILMN_1816882	79.59787	0	72.21603	0.2784471	85.43568	0.004016064	74.7721	0.06008011	82.62627	0.01336898	77.59289	0.0269179
ILMN_1840611	66.22588	0.1251664	71.97213	0.2931727	83.19611	0.02008032	79.42565	0.02403204	61.57542	0.6176471	79.52869	0.02153432
ILMN_1914662	60.01409	0.4274301	71.29543	0.3239625	67.43876	0.3293173	72.54208	0.105474	66.05063	0.381016	67.52154	0.2987887
ILMN_1834475	89.99024	0	89.55369	0.005354752	88.65986	0	90.29335	0	78.37808	0.03074866	85.95715	0
ILMN_1873534	63.11246	0.252996	76.77513	0.1499331	59.70337	0.7536814	63.12532	0.4993325	65.13227	0.4358289	80.69547	0.02018842
ILMN_1820164	64.8923	0.1784288	72.66556	0.2597055	74.57936	0.107095	65.24834	0.3831776	67.88266	0.2981283	72.315	0.1386272
ILMN_1840007	67.8355	0.09587217	87.05573	0.01472557	80.56586	0.03212851	82.25108	0.005340454	90.45059	0	75.56261	0.05921938
ILMN_1888690	64.87005	0.1797603	64.6598	0.6318608	77.91174	0.0562249	64.49445	0.4205607	66.60236	0.3582888	67.42458	0.3028264
ILMN_1876151	80.38627	0	83.40532	0.04417671	79.16685	0.04149933	76.26295	0.04539386	80.98391	0.01871658	84.74091	0
ILMN_1821120	73.8881	0.01997337	91.74118	0	80.76543	0.03212851	80.83254	0.009345794	82.90813	0.01203209	78.78257	0.02288022
ILMN_1895200	61.34597	0.3382157	68.84018	0.4283802	67.57173	0.3239625	55.6806	0.8624833	61.62398	0.6163102	55.56131	0.8923284
ILMN_1913697	64.46159	0.1930759	62.34622	0.7389558	84.55228	0.009370817	76.93536	0.04138852	76.94805	0.04010695	72.9192	0.1224764
ILMN_1839088	72.32867	0.03195739	80.47286	0.08032128	80.67191	0.03212851	74.65151	0.06141522	73.1189	0.1069519	78.81728	0.02288022
ILMN_1868769	60.17258	0.412783	74.33176	0.2088353	59.55049	0.768407	64.05898	0.4419226	61.49256	0.6229947	71.4507	0.1655451
ILMN_1839023	75.76001	0.01065246	73.93485	0.2115127	76.4161	0.07095047	71.20293	0.141522	66.31549	0.3663101	73.75372	0.09690444
ILMN_1889855	67.4882	0.1011984	82.2055	0.0562249	67.33528	0.3319947	77.62842	0.03604807	77.27189	0.03877005	67.14621	0.3135935
ILMN_1895592	59.53208	0.460719	70.23233	0.3694779	61.00001	0.6907631	61.05272	0.6128171	70.58966	0.1885027	65.8197	0.3728129
ILMN_1905821	97.84154	0	86.87021	0.01740295	75.66746	0.08567604	84.26771	0.001335114	79.47066	0.02673797	95.04093	0
ILMN_1891694	67.34819	0.1011984	79.33093	0.1017403	74.88213	0.09906292	74.83817	0.06008011	77.8933	0.03342246	67.09536	0.3149394
ILMN_1866433	71.47906	0.04260985	69.03275	0.4216867	80.38782	0.03480589	67.39828	0.2843792	74.42669	0.0802139	70.51924	0.1857335
ILMN_1847793	53.69936	0.7882823	73.37531	0.2289157	70.18387	0.2208835	62.54316	0.5260347	57.96666	0.8168449	58.401	0.7900404
ILMN_1916014	52.11541	0.8561918	63.2646	0.7001339	56.85377	0.8741633	67.31429	0.2857143	53.87799	0.9398396	57.10301	0.8398385
ILMN_1835172	66.60731	0.1198402	83.31018	0.0455154	71.33741	0.188755	83.29532	0.001335114	75.80355	0.05481283	80.08224	0.02153432
ILMN_1887341	65.36604	0.1517976	67.17588	0.4993307	55.17375	0.9250335	63.16329	0.4953271	67.28896	0.315508	66.52864	0.3405114
ILMN_1915577	58.44585	0.5086551	76.48633	0.1539491	71.3568	0.188755	68.56902	0.2336449	75.66975	0.05481283	50.2471	0.9825034
ILMN_1851624	58.80304	0.4926764	72.95409	0.2436412	78.53493	0.04685408	69.33049	0.1989319	74.24961	0.0842246	63.5179	0.4979812
ILMN_1877865	58.9318	0.4913449	71.06236	0.3333333	59.16151	0.7817938	56.16523	0.8504673	68.36139	0.2834225	58.56081	0.7873486
ILMN_1881206	61.24909	0.3422104	78.27432	0.1178045	62.84187	0.5917001	74.56709	0.06408545	82.9988	0.01203209	66.28284	0.3553163
ILMN_1854663	68.24207	0.0852197	77.95908	0.1258367	73.03521	0.1392236	66.43914	0.3217624	67.06864	0.3262032	64.22598	0.4522207
ILMN_1869697	49.59382	0.9320905	80.34716	0.08299866	61.70771	0.6519411	65.42531	0.3738318	56.28882	0.8796791	70.63233	0.1843876
ILMN_1816948	75.16008	0.01198402	79.81586	0.09103079	74.08654	0.1151272	72.77669	0.1014686	82.58368	0.01336898	72.06429	0.1493943
ILMN_1851475	56.42392	0.6364847	68.11258	0.4605087	61.5071	0.665328	60.19272	0.6662216	65.57001	0.407754	68.16769	0.269179
ILMN_1893235	79.48535	0	80.85568	0.07362784	81.28078	0.02811245	74.40443	0.06408545	75.31486	0.06016043	81.97369	0.01345895
ILMN_1891477	75.68755	0.01065246	75.55899	0.1834003	66.12429	0.3868808	70.50123	0.1682243	67.72087	0.302139	79.02366	0.02288022
ILMN_1912438	60.20432	0.4101198	66.26973	0.5542169	69.20592	0.2583668	61.34978	0.5887851	68.57421	0.2740642	63.65535	0.4858681
ILMN_1841664	56.31879	0.6431425	69.50942	0.3975904	58.3919	0.8125837	57.86647	0.787717	65.08369	0.4385027	60.71817	0.6473755
ILMN_1902861	47.83052	0.9747004	60.55348	0.8152611	67.07929	0.3467202	55.91028	0.858478	65.53227	0.4090909	55.1166	0.9044415
ILMN_1824874	58.56323	0.4993342	60.68294	0.8045515	58.84234	0.7951807	61.9045	0.5554072	58.28085	0.7914438	56.63036	0.8627187
ILMN_1888949	55.38243	0.6937417	61.65791	0.7710843	62.86959	0.5903614	69.80025	0.1855808	57.48854	0.8368984	62.31852	0.5625841
ILMN_1860050	48.18572	0.9680426	72.53684	0.2663989	60.62305	0.708166	60.78662	0.6301736	60.50801	0.6858289	69.81688	0.2113055
ILMN_1911628	62.31479	0.286285	75.38364	0.1874163	62.93078	0.583668	67.13597	0.2897196	59.31599	0.7446524	75.85738	0.0538358
ILMN_1889309	57.51463	0.5739015	78.93681	0.1057564	75.10475	0.09772423	63.94865	0.4445928	88.52601	0	70.05487	0.2018843
ILMN_1909753	58.21539	0.5326232	88.84148	0.008032128	75.36038	0.09504686	61.14043	0.6034713	64.67329	0.4585561	60.98821	0.6285329
ILMN_1912942	66.09052	0.1304927	74.43451	0.2074967	68.38873	0.2958501	64.30914	0.4299065	58.70389	0.7687166	69.55575	0.2207268
ILMN_1859877	78.3155	0.001331558	77.6293	0.1325301	81.87965	0.0227577	71.12185	0.1468625	79.02129	0.02807487	66.48692	0.345895
ILMN_1836556	77.15334	0.005326231	68.99183	0.4243641	70.69714	0.206158	74.5851	0.06408545	76.20296	0.04946524	74.96855	0.07133244
ILMN_1833592	69.85642	0.0665779	82.69978	0.05220884	89.70474	0	65.99611	0.3391188	73.44846	0.09625668	72.82307	0.1224764
ILMN_1881481	74.37817	0.0159787	89.62362	0.005354752	68.55054	0.2891566	72.0432	0.1188251	78.35964	0.03074866	74.81181	0.07267833
ILMN_1898176	61.01859	0.3581891	68.10586	0.4605087	63.07936	0.579652	67.82558	0.2603471	66.62714	0.355615	61.15223	0.6258412
ILMN_1825449	58.43969	0.5099867	69.19987	0.4136546	69.16813	0.2610442	65.27898	0.3831776	76.48595	0.04545455	76.93821	0.03095558
ILMN_1906980	58.34575	0.5139813	69.29988	0.4082999	74.62977	0.107095	72.95082	0.09479306	70.96208	0.1804813	70.26043	0.1978466
ILMN_1854229	67.53774	0.1011984	71.08652	0.3319947	67.56266	0.3239625	69.95521	0.1842457	70.73101	0.1858289	66.14699	0.3620458
ILMN_1860621	58.10337	0.5379494	66.82826	0.5167336	63.70703	0.5381526	64.84122	0.400534	64.28415	0.4826203	68.94873	0.243607
ILMN_1829889	67.8689	0.09587217	72.32281	0.2757697	75.35013	0.09504686	74.20966	0.06542056	79.57384	0.02673797	78.77859	0.02288022
ILMN_1866482	49.84402	0.9227697	61.82489	0.7670683	55.70696	0.9036145	60.49187	0.6488652	73.87991	0.09224599	64.26031	0.4508748
ILMN_1824117	53.12283	0.8135819	64.89517	0.6211513	60.79007	0.7001339	69.80453	0.1855808	61.23193	0.6363636	61.41005	0.6137281
ILMN_1890063	67.60677	0.1011984	79.30364	0.1017403	77.61407	0.06024097	72.65392	0.1041389	87.36048	0	84.86626	0
ILMN_1901046	58.03948	0.5419441	72.89069	0.2503347	75.70203	0.08433735	56.74556	0.8331108	69.75052	0.2272727	66.07791	0.3633917
ILMN_1859406	55.99315	0.6644474	49.94362	0.9946452	61.11251	0.6800535	61.87785	0.5554072	62.61411	0.5681818	54.16464	0.9259758
ILMN_1885705	51.72076	0.8681757	79.74828	0.09236947	69.47944	0.2476573	72.396	0.1094793	69.65575	0.2299465	63.00921	0.5248991
ILMN_1872198	58.85027	0.4913449	64.10778	0.6586345	60.13077	0.7309237	49.1181	0.9839786	68.36143	0.2834225	57.92931	0.8115747
ILMN_1864194	75.16136	0.01198402	76.60233	0.1512718	68.99914	0.270415	82.76193	0.002670227	75.57294	0.05614973	69.98781	0.204576
ILMN_1867321	80.29884	0	108.1605	0	123.6174	0	125.5705	0	143.2925	0	154.9554	0
ILMN_1872769	71.95087	0.0346205	63.86861	0.6720214	69.73737	0.2382865	72.81982	0.1014686	59.52181	0.7339572	72.16861	0.1426649
ILMN_1878133	79.65042	0	93.39258	0	84.28125	0.0107095	85.15721	0	83.20416	0.01203209	86.75327	0
ILMN_1822518	54.13976	0.7603196	68.43457	0.4404284	65.34521	0.4444444	69.04171	0.2096128	61.29644	0.6323529	61.74357	0.5881561
ILMN_1912575	61.20571	0.3448735	54.5395	0.9477912	69.4785	0.2476573	58.90764	0.7463284	68.02076	0.2954545	69.54626	0.2207268
ILMN_1855500	64.20945	0.195739	80.11581	0.08567604	63.34945	0.5635877	67.7124	0.2616822	72.52555	0.1229947	66.7977	0.3297443
ILMN_1833876	77.36079	0.003994674	91.24158	0	72.45109	0.1579652	84.11769	0.001335114	80.81413	0.02005348	92.55239	0
ILMN_1911047	80.13708	0	84.52389	0.0334672	81.25664	0.02811245	93.77749	0	74.16702	0.08689839	90.87835	0
ILMN_1824127	66.5351	0.1211718	89.71327	0.004016064	87.11635	0	78.00426	0.03604807	70.3388	0.1991979	69.48606	0.2234186
ILMN_1854684	57.11689	0.5952064	71.84708	0.3025435	56.09726	0.8942437	67.7744	0.2603471	63.64557	0.5173797	63.48661	0.4979812
ILMN_1836711	60.41314	0.4021305	60.75045	0.8032129	65.49119	0.4310576	59.75938	0.6969292	70.41704	0.1951872	65.0061	0.4158816
ILMN_1876331	66.75801	0.114514	73.97987	0.2115127	68.29669	0.2985274	56.0626	0.8531375	70.12682	0.2058824	65.69051	0.3781965
ILMN_1874899	75.21446	0.01198402	78.86413	0.1084337	75.38649	0.09370816	64.92944	0.3951936	82.28063	0.01470588	74.87701	0.07267833
ILMN_1830117	54.3859	0.7496671	76.88203	0.1499331	60.14082	0.7309237	62.47661	0.53004	59.68843	0.7219251	56.7077	0.8532975
ILMN_1844971	67.96307	0.09454061	69.31633	0.4069612	81.10156	0.02811245	74.29033	0.06542056	88.84074	0	77.79326	0.0269179
ILMN_1900159	77.80266	0.002663116	93.07362	0	80.32695	0.03480589	70.34295	0.1708945	77.64346	0.03475936	76.01121	0.04979812
ILMN_1840240	54.80927	0.73502	69.68807	0.3935743	56.82789	0.8741633	62.71355	0.5166889	69.41253	0.2433155	65.92429	0.371467
ILMN_1870341	63.43353	0.2330226	66.69034	0.5220883	65.24789	0.4511379	68.14408	0.2510013	62.56894	0.5721925	69.61758	0.218035
ILMN_1895417	70.39488	0.06125166	95.76778	0	86.13475	0	81.80386	0.005340454	90.09268	0	85.86649	0
ILMN_1828747	57.06882	0.5965379	78.44088	0.1151272	67.89215	0.313253	60.6574	0.6448598	69.29279	0.2459893	68.78342	0.2462988
ILMN_1873215	76.19396	0.01065246	92.08212	0	84.44678	0.009370817	76.55642	0.04539386	99.02972	0	67.81819	0.2853298
ILMN_1847032	76.94792	0.006657789	77.00459	0.145917	69.7587	0.2382865	80.491	0.01335113	74.84078	0.07085562	71.0588	0.1749664
ILMN_1864989	70.49331	0.05992011	74.5097	0.206158	65.36016	0.4404284	78.14693	0.03471295	81.5534	0.01604278	64.97745	0.4185733
ILMN_1867827	64.48098	0.1917443	79.74403	0.09236947	73.23212	0.1352075	73.4237	0.08144192	72.08401	0.1363636	67.86784	0.2812921
ILMN_1863909	59.45833	0.4660453	62.01928	0.7563587	64.99374	0.4618474	63.06903	0.5020027	73.78461	0.09224599	69.08975	0.2395693
ILMN_1898984	87.93851	0	74.20494	0.2088353	87.39813	0	82.5444	0.00400534	79.92819	0.02673797	94.10546	0
ILMN_1884810	77.80703	0.002663116	82.23284	0.0562249	78.19006	0.05087015	78.12949	0.03471295	88.38842	0	77.71358	0.0269179
ILMN_1837850	63.75345	0.2183755	61.02845	0.789826	57.53164	0.8433735	55.9058	0.858478	62.48006	0.5735294	55.19685	0.9030955
ILMN_1893396	58.27545	0.5219707	72.76615	0.2543507	54.89488	0.9317269	64.38768	0.4245661	69.33292	0.2459893	63.9987	0.4656797
ILMN_1904561	74.52444	0.01331558	99.91105	0	91.46113	0	81.90869	0.005340454	87.60981	0	93.89142	0
ILMN_1911155	58.88993	0.4913449	83.24656	0.0455154	70.76466	0.2048193	69.27657	0.1989319	85.45951	0.004010695	64.93771	0.4199193
ILMN_1872025	86.83357	0	83.97684	0.03748327	83.79475	0.01204819	89.9968	0	83.18681	0.01203209	104.142	0
ILMN_1883858	70.14999	0.06391478	76.11367	0.1646586	70.2044	0.2182062	69.42191	0.1975968	72.17755	0.1350267	64.60428	0.4333782
ILMN_1881471	59.23835	0.4727031	75.51765	0.1860776	58.50208	0.8032129	59.77005	0.6969292	64.99207	0.4398396	59.64392	0.717362
ILMN_1916362	67.62695	0.1011984	77.19466	0.1432396	67.47384	0.3279786	63.36067	0.4873164	67.13416	0.3235294	59.37348	0.730821
ILMN_1901370	43.98724	0.9960053	69.73532	0.3895582	64.3255	0.497992	65.20738	0.3845127	63.6445	0.5173797	67.69911	0.2934051
ILMN_1915480	58.6644	0.4966711	74.07915	0.210174	76.81898	0.06827309	73.47157	0.08144192	67.93941	0.2967914	68.13418	0.2705249
ILMN_1861326	58.02859	0.5432757	73.92162	0.2115127	68.31183	0.2985274	68.32097	0.246996	78.09484	0.03342246	57.74115	0.8169582
ILMN_1892172	58.73698	0.494008	66.04154	0.5649264	76.62534	0.06827309	64.65714	0.4112149	68.84764	0.2606952	60.28257	0.6837147
ILMN_1906960	65.11555	0.1651132	66.68343	0.5234271	65.00147	0.4618474	64.81683	0.4018691	72.45634	0.1229947	71.92531	0.1547779
ILMN_1899420	66.64273	0.1185087	61.03922	0.789826	67.83739	0.3159304	71.99592	0.1201602	70.97285	0.1804813	71.44942	0.1655451
ILMN_1874909	61.58762	0.3235686	60.87022	0.7978581	65.55418	0.4230254	58.51623	0.7596796	74.50004	0.0802139	68.06637	0.2705249
ILMN_1872600	57.37483	0.5805593	80.82362	0.07362784	62.65017	0.5983936	61.72157	0.564753	69.29013	0.2459893	60.25669	0.6837147
ILMN_1849506	60.25144	0.4087883	62.37838	0.7376171	68.12708	0.3038822	64.98254	0.3911883	72.12167	0.1363636	60.02248	0.6971736
ILMN_1902978	70.09644	0.06391478	76.81631	0.1499331	76.69112	0.06827309	69.68773	0.188251	71.71228	0.1510695	69.97498	0.2059219
ILMN_1831600	64.02958	0.2023968	69.01339	0.4230254	67.87236	0.313253	60.50842	0.64753	63.79925	0.5106952	74.95455	0.07133244
ILMN_1840283	71.28147	0.04527297	86.26574	0.01874163	85.70881	0	88.27348	0	88.0152	0	79.22843	0.02288022
ILMN_1850673	60.49334	0.3968043	64.4478	0.6412316	63.95373	0.5274431	74.07622	0.07076102	71.2746	0.1644385	68.4715	0.25572
ILMN_1871348	73.51859	0.02396804	69.75203	0.3868808	64.80561	0.4725569	71.22585	0.141522	82.05398	0.01604278	76.51641	0.04306864
ILMN_1848347	69.00779	0.07723036	73.60252	0.2235609	65.86802	0.4042838	57.4343	0.8050734	70.2253	0.2032086	67.8251	0.2853298
ILMN_1865244	62.62442	0.2716378	86.91547	0.01606426	69.68098	0.2396252	57.85382	0.7890521	64.70171	0.4585561	71.22508	0.1722746
ILMN_1873166	62.1435	0.2969374	76.68416	0.1499331	62.65489	0.5983936	75.74522	0.05073431	64.06068	0.4986631	70.47107	0.1870794
ILMN_1875846	61.19718	0.3475366	70.2336	0.3694779	66.96153	0.3534136	69.64884	0.1909212	62.67229	0.5681818	66.85474	0.3257066
ILMN_1917116	58.19791	0.5326232	66.67084	0.5234271	58.24084	0.8179384	62.46509	0.53004	60.901	0.6644385	61.72306	0.5881561
ILMN_1862590	61.25238	0.3422104	66.25571	0.5555556	59.04513	0.7871486	60.18225	0.6675568	66.51659	0.3596257	82.59866	0.006729475
ILMN_1860181	51.78098	0.8655127	69.92912	0.3788487	61.41957	0.6680053	62.75185	0.5140187	61.65229	0.6163102	60.26171	0.6837147
ILMN_1877472	68.43515	0.08255659	66.54557	0.5314592	68.04926	0.3065596	66.95357	0.2977303	86.90289	0	69.18501	0.2355316
ILMN_1877421	82.34274	0	94.00567	0	94.66916	0	88.00006	0	110.0996	0	100.3468	0
ILMN_1869096	52.78942	0.828229	79.30718	0.1017403	60.26463	0.7228916	72.18271	0.1161549	61.47765	0.6229947	71.11233	0.1736205
ILMN_1844400	63.7963	0.2170439	69.71027	0.3895582	77.22754	0.06559572	67.80219	0.2603471	70.95514	0.1818182	56.24627	0.8761777
ILMN_1895354	62.19596	0.2956059	62.91712	0.7215528	70.77517	0.2034806	58.34847	0.7703605	59.81327	0.7152407	64.21606	0.4522207
ILMN_1894159	55.63823	0.6804261	67.20248	0.4993307	54.37418	0.9384204	59.42578	0.7196262	59.85567	0.7125669	68.94852	0.243607
ILMN_1889605	74.65355	0.01331558	76.07687	0.1659973	65.64491	0.4190094	63.36989	0.4859813	83.7636	0.009358289	69.08212	0.2395693
ILMN_1897240	52.41084	0.8415446	54.43933	0.9491299	61.99593	0.6318608	61.40265	0.5874499	70.52693	0.1898396	76.36606	0.04441454
ILMN_1849638	65.23676	0.1557923	79.62339	0.09370816	74.44317	0.1084337	75.58179	0.05206943	71.12195	0.1697861	75.5886	0.05921938
ILMN_1822738	69.48302	0.07323568	72.45995	0.2730924	70.27623	0.2141901	71.73288	0.1268358	62.36712	0.5815508	67.14877	0.3135935
ILMN_1871862	58.13562	0.5352863	61.77658	0.7670683	66.14104	0.3855422	64.2392	0.4325768	71.12635	0.1697861	65.86904	0.3728129
ILMN_1904514	57.15982	0.5898802	68.42928	0.4404284	79.6517	0.04149933	69.36684	0.1989319	71.60793	0.1550802	69.19232	0.2355316
ILMN_1893073	65.21604	0.1571238	81.4069	0.06425703	69.82946	0.2342704	61.80595	0.5607477	62.64413	0.5681818	66.60591	0.3364738
ILMN_1885529	67.59641	0.1011984	72.67262	0.2597055	74.84978	0.09906292	75.12729	0.05473965	69.77699	0.2272727	70.36245	0.1911171
ILMN_1819597	56.34298	0.6418109	65.58453	0.5903614	63.51101	0.5555556	65.56521	0.3671562	57.23339	0.8462567	64.16014	0.4535666
ILMN_1834933	65.34566	0.1531292	74.41031	0.2074967	71.88376	0.1713521	73.90107	0.07610147	72.6697	0.1203209	69.24746	0.2341857
ILMN_1832703	53.1793	0.8095872	75.08041	0.1954485	68.43755	0.2958501	61.76437	0.5620828	61.00648	0.6537433	58.34063	0.7927322
ILMN_1846987	56.25123	0.6484687	62.23998	0.7456493	70.62048	0.206158	60.34584	0.6595461	64.60381	0.46123	60.78618	0.6419919
ILMN_1866909	68.72519	0.07989348	82.30512	0.05488621	64.83234	0.4712182	65.67928	0.3618158	60.28633	0.6965241	72.62281	0.12786
ILMN_1853414	77.20145	0.005326231	70.44749	0.3587684	67.30228	0.334672	72.83978	0.1001335	73.89703	0.09224599	68.07542	0.2705249
ILMN_1853477	87.00595	0	88.9455	0.00669344	97.06505	0	90.69758	0	92.46455	0	96.7561	0
ILMN_1873783	74.68449	0.01198402	68.11922	0.45917	81.19721	0.02811245	70.59386	0.1668892	76.61611	0.04545455	65.47298	0.3889637
ILMN_1879096	67.74384	0.09853528	64.08718	0.6599732	76.28186	0.07630522	70.05814	0.1789052	69.51121	0.2352941	74.84171	0.07267833
ILMN_1913008	67.78924	0.09720373	77.40621	0.1352075	55.63886	0.9036145	66.31411	0.3257677	70.21265	0.2032086	59.48272	0.7267833
ILMN_1898605	70.83721	0.05326232	77.57674	0.1338688	64.59772	0.4859438	66.45029	0.3204272	56.72953	0.8609626	67.58665	0.2960969
ILMN_1870857	66.75677	0.114514	75.84347	0.1726908	67.98789	0.3078983	77.53567	0.03604807	75.64616	0.05481283	69.40893	0.2274563
ILMN_1839312	65.3063	0.1531292	69.53982	0.3962517	77.48223	0.06157965	63.82781	0.4552737	64.38573	0.4692513	61.6454	0.5935397
ILMN_1889564	60.35098	0.4047936	92.12483	0	69.05489	0.2677376	64.96979	0.3911883	72.08456	0.1363636	72.39872	0.1386272
ILMN_1904789	59.29634	0.4713715	72.35172	0.2757697	58.89811	0.7925034	65.67413	0.3618158	69.22226	0.2486631	54.62444	0.9165545
ILMN_1818446	68.51719	0.08122503	77.70284	0.1311914	63.95041	0.5274431	76.84678	0.04272363	92.39693	0	93.14561	0
ILMN_1862939	68.93421	0.07856192	93.2992	0	74.25669	0.1097724	73.17611	0.0894526	69.31052	0.2459893	84.78399	0
ILMN_1822809	67.6604	0.09986684	65.14138	0.6104417	70.84995	0.2034806	64.55109	0.4178905	85.60329	0.004010695	73.13412	0.1170929
ILMN_1821442	61.93867	0.3049268	77.05643	0.1445783	63.76672	0.5368139	66.58208	0.3137517	66.14483	0.3770053	64.87618	0.4253028
ILMN_1844152	63.30161	0.2383489	51.90524	0.9839357	65.62518	0.420348	65.03018	0.3898531	63.97404	0.5040107	70.03525	0.2032301
ILMN_1865164	56.54519	0.6311585	58.4469	0.8795181	61.74531	0.6519411	63.17838	0.4953271	59.09853	0.7526738	65.76124	0.3768506
ILMN_1823208	58.77671	0.494008	66.17348	0.5595716	66.47018	0.3748327	60.78603	0.6301736	59.69104	0.7219251	63.63619	0.487214
ILMN_1826776	51.75471	0.8668442	68.35292	0.4444444	60.29216	0.7228916	60.78411	0.6301736	59.27505	0.7446524	70.3455	0.192463
ILMN_1823965	70.29319	0.06258322	76.09393	0.1659973	79.44881	0.04149933	60.69152	0.6395193	67.58881	0.3101604	68.97524	0.243607
ILMN_1824465	65.50832	0.1438083	71.07873	0.3319947	70.88793	0.2034806	66.45778	0.317757	75.60619	0.05481283	79.33815	0.02288022
ILMN_1853103	66.04327	0.1331558	75.19803	0.1941098	73.80213	0.1231593	62.04308	0.5500668	60.95784	0.6631016	73.23448	0.1144011
ILMN_1903200	59.82561	0.4394141	66.91902	0.5100402	74.53829	0.107095	64.66193	0.4098798	66.63686	0.355615	69.8856	0.2086137
ILMN_1849877	66.94611	0.1105193	65.85584	0.5742972	67.1439	0.3427041	70.72991	0.1655541	77.34367	0.03877005	54.25301	0.9246299
ILMN_1863971	68.09351	0.08788282	68.21193	0.4497992	64.80395	0.4725569	65.69229	0.3618158	72.7382	0.118984	65.26439	0.4037685
ILMN_1892283	69.56656	0.07323568	67.64114	0.4846051	74.45124	0.107095	61.96942	0.5514019	69.84261	0.2205882	68.3073	0.2637954
ILMN_1816382	72.3327	0.03195739	89.11417	0.00669344	87.14557	0	78.67572	0.03070761	76.58841	0.04545455	87.70916	0
ILMN_1824300	62.02473	0.2996005	80.24224	0.08433735	74.68478	0.1044177	66.01411	0.3391188	71.00504	0.1778075	62.68919	0.5410498
