# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
	GSM998616		GSM998617		GSM998618		GSM998619		GSM998620		GSM998621	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval
ILMN_2068874	51.39491	0.8788282	66.61761	0.5261044	53.49872	0.9558233	57.34566	0.8064085	55.49902	0.9037433	62.24583	0.56393
ILMN_1670117	51.3089	0.8828229	57.1797	0.9036145	65.76806	0.4069612	61.80326	0.5607477	75.55659	0.05614973	63.0822	0.5195155
ILMN_1805104	58.36414	0.5126498	78.26437	0.1191432	75.16122	0.09772423	63.43685	0.4793057	64.73633	0.4585561	79.23683	0.02288022
ILMN_2404407	63.46445	0.2316911	69.02876	0.4216867	57.56391	0.8433735	60.91579	0.6248331	57.2915	0.8449198	69.43856	0.2247645
ILMN_1791106	97.45427	0	185.1554	0	131.8156	0	156.9517	0	130.8202	0	99.83968	0
ILMN_1766054	555.194	0	2196.098	0	1857.024	0	809.8624	0	986.9888	0	244.0066	0
ILMN_1753388	153.8887	0	83.45708	0.04149933	106.4426	0	107.0623	0	113.5943	0	112.3884	0
ILMN_2070570	58.50626	0.5033289	83.79293	0.03882195	62.45343	0.6091031	67.3092	0.2857143	76.60873	0.04545455	60.2275	0.6850606
ILMN_2232084	63.09202	0.252996	89.54982	0.005354752	79.0813	0.04283802	74.60262	0.06275033	68.9667	0.2566845	74.25804	0.08479138
ILMN_1750250	62.40319	0.2796272	64.422	0.6425703	61.39609	0.6680053	60.03338	0.682243	66.66344	0.3542781	67.21227	0.3122476
ILMN_2361400	55.85512	0.6697736	64.23082	0.647925	66.49382	0.3721553	57.16884	0.8090788	66.65929	0.3542781	60.28891	0.6823688
ILMN_1704579	62.07215	0.2996005	64.68415	0.6318608	58.63543	0.7978581	63.63919	0.4672897	64.77876	0.4572192	64.05573	0.4589502
ILMN_1687636	55.49044	0.6884155	65.63966	0.5876841	71.15948	0.1967871	68.44234	0.2389853	69.22292	0.2486631	65.32713	0.397039
ILMN_1747627	102.3962	0	168.8879	0	172.4895	0	124.942	0	122.4909	0	151.1067	0
ILMN_1758523	77.38928	0.003994674	149.992	0	134.7176	0	153.3972	0	103.286	0	85.56313	0
ILMN_1794965	93.38997	0	128.5317	0	110.8202	0	106.1676	0	102.4022	0	104.9627	0
ILMN_1722286	56.36687	0.6404794	68.38979	0.4444444	62.5693	0.6010709	65.31282	0.3805073	84.88224	0.005347594	62.45603	0.5531629
ILMN_1784176	71.72308	0.03861518	75.76666	0.1726908	73.06386	0.1392236	69.72147	0.188251	88.17993	0	66.41656	0.3485868
ILMN_1749001	66.18613	0.1278296	78.02928	0.124498	89.34853	0	95.94847	0	139.9138	0	61.42758	0.6137281
ILMN_1701551	148.2821	0	713.9127	0	311.0306	0	277.8419	0	242.0318	0	67.86076	0.2839839
ILMN_1795507	98.16396	0	152.3642	0	179.6902	0	173.2702	0	274.3293	0	82.8703	0.00538358
ILMN_1729894	53.27768	0.8069241	57.60736	0.8902276	67.39734	0.3293173	61.31549	0.5887851	60.98459	0.6590909	64.8658	0.4253028
ILMN_1743205	246.9014	0	248.0566	0	362.0903	0	409.8477	0	580.9745	0	459.5732	0
ILMN_2259319	60.10513	0.4207723	71.50267	0.3159304	74.89294	0.09906292	74.18817	0.06675567	68.7132	0.2647059	73.68436	0.09959623
ILMN_2129886	58.07257	0.539281	68.13257	0.4578313	56.06096	0.8942437	56.59348	0.8384513	63.91307	0.5066845	53.20728	0.948856
ILMN_1796801	76.06757	0.01065246	411.9846	0	166.2248	0	100.9343	0	266.3564	0	98.0865	0
ILMN_1720501	84.39701	0	109.3243	0	115.0348	0	77.15266	0.03738318	130.9363	0	67.97708	0.2759085
